Acc_selectAllNeigbhorsOf1Node_NL,Acc_selectMoreInterconnectedCluster2Clusters_NL,Acc_selectNodeWithHighestDegree2_NL
0.9222222222222222,0.7,0.9
0.961111111111111,1.0,0.8
0.95,1.0,0.9
0.8333333333333333,0.9,0.9
0.9,0.9,0.8
0.8833333333333332,0.5,0.9
0.8833333333333332,0.5,1.0
0.8833333333333332,0.5,1.0
0.8833333333333332,0.5,1.0
0.025,0.3,0.0
0.9666666666666666,1.0,0.9
0.975,1.0,0.9
0.961111111111111,1.0,0.9
0.7277777777777777,1.0,0.9
0.8277777777777778,0.8,0.9
0.5111111111111111,1.0,0.9
0.8805555555555555,1.0,0.9
0.9527777777777778,1.0,0.9
0.5633333333333332,0.8,0.8
